,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
21,"Rally in Cleveland for Donald Trump spirited, but peaceful - http://cleveland.com  -  https://donaldtrumpleak.com/rally-in-cleveland-for-donald-trump-spirited-but-peaceful-cleveland-com/ …pic.twitter.com/B7x4RMFAGz",2017-03-04 15:59:28,19,18,838177100574097408,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.714}",0.0772894455838,0.0685520093561
22,Poll: Do you believe Barack Obama wiretapped Donald Trump?;  https://goo.gl/Qqj9xD  #poll via @opinionstage,2017-03-04 15:59:26,0,0,838177092168728576,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
23,"In a ""lighter"" side of life, some @lifetimetv movies go hard on why you should not get a live-in nanny. Great release from #DonaldTrump BS",2017-03-04 15:59:24,0,0,838177086015750145,"{'neg': 0.053, 'neu': 0.792, 'pos': 0.155, 'compound': 0.5719}",0.0772894455838,0.0685520093561
24,I fucked my dad because it nipple crippled Donald Trump.,2017-03-04 15:59:15,0,0,838177046887084032,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.6597}",0.0772894455838,0.0685520093561
25,Island girl Donald trump want me to go home,2017-03-04 15:59:14,0,0,838177041988136960,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}",0.0772894455838,0.0685520093561
26,More lies of course! Donald Trump is an impressive student of political weasel wording http://www.motherjones.com/kevin-drum/2017/03/donald-trump-impressive-student-political-weasel-wording … #TrumpIsAMoron,2017-03-04 15:59:10,0,0,838177028155314178,"{'neg': 0.15, 'neu': 0.677, 'pos': 0.174, 'compound': 0.1278}",0.0772894455838,0.0685520093561
27,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://NewsUpdatee.co.vu/1HO pic.twitter.com/GGueZGklLH,2017-03-04 15:59:08,17,4,838177019741405184,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0772894455838,0.0685520093561
28,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://USATrump.co.vu/5YC pic.twitter.com/Z6JKhX8KvZ,2017-03-04 15:59:05,2,1,838177007171072001,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0772894455838,0.0685520093561
29,if you ask donald trump what the internet is.,2017-03-04 15:59:05,0,0,838177005187235841,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
30,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://USATrump.co.vu/5YC pic.twitter.com/ojkXrfFdLH,2017-03-04 15:59:04,40,12,838177001647177728,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0772894455838,0.0685520093561
31,Did Donald Trump's accusations of Barack Obama 'wiretapping' stem from news report by Louise Mensch? http://www.telegraph.co.uk/news/2017/03/04/did-donald-trumps-accusations-barack-obama-wiretapping-stem/ …,2017-03-04 15:59:03,0,0,838176997868195840,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3182}",0.0772894455838,0.0685520093561
32,Did President Obama Spy On Donald Trump? | True News http://ln.is/www.youtube.com/f7Wqw … via @YouTube,2017-03-04 15:59:01,0,0,838176990268125186,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.0772894455838,0.0685520093561
33,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://NewsUpdatee.co.vu/1HO pic.twitter.com/Pr2EwHLIMN,2017-03-04 15:58:59,331,180,838176982948990976,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0772894455838,0.0685520093561
34,@CBSNews Mike Pence and Donald Trump haven't seen anything yet!!  like Marco Rubio said Republicans be careful we could be next Wikileaks.. part 2.,2017-03-04 15:58:59,8,1,838176980168232964,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5696}",0.0772894455838,0.0685520093561
35,"I liked a @YouTube video http://youtu.be/H2ut8ChPwdI?a  Donald Trump Loves Saying ""Donald Trump""",2017-03-04 15:58:58,0,0,838176977307717640,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}",0.0772894455838,0.0685520093561
36,Paranoid politics: how does Donald Trump get away with it? http://theconversation.com/paranoid-politics-how-does-donald-trump-get-away-with-it-64157 … via @ConversationEDU. By his age he ought to know better,2017-03-04 15:58:55,0,1,838176963563044866,"{'neg': 0.084, 'neu': 0.795, 'pos': 0.121, 'compound': 0.2263}",0.0772894455838,0.0685520093561
