,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
10,10,10,COMMENTARY: Donald Trump has fans all over Asia http://ift.tt/2lMlS1F ,2017-03-04 21:24:43,0,0,838258953087770624,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0208148148148,0.116
11,11,11,"Alex Oronov, organizer of Russia-Ukraine blackmail plan sent to Donald Trump, dies suspiciously http://www.palmerreport.com/opinion/alex-oronov-organizer-russia-ukraine-blackmail-plan-sent-donald-trump-dropped-dead/1785/ … via @PalmerReport",2017-03-04 19:36:54,3,4,838231823276716033,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}",0.0208148148148,0.116
12,12,12,How This Iconic Skating Rink Tells the Story of Donald Trump http://dailysign.al/2lAeG8x  via @kelseyjharkness @DailySignal,2017-03-04 18:55:51,0,0,838221492487929857,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0208148148148,0.116
13,13,13,"Big Baby Donald Trump: Schwarzenegger Can’t Quit Celebrity Apprentice, He’s Fired! http://freakoutnation.com/2017/03/big-baby-donald-trump-schwarzenegger-cant-quit-celebrity-apprentice-hes-fired/ …",2017-03-04 18:16:42,0,0,838211639300263937,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.5983}",0.0208148148148,0.116
14,14,14,Russian Oligarch’s Plane Shadowed Donald Trump’s Plane (VIDEO) http://freakoutnation.com/2017/03/russian-oligarchs-plane-shadowed-donald-trumps-plane-video/ …,2017-03-04 18:09:18,0,0,838209778170146816,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0208148148148,0.116
15,15,15,"tape with Obama, ordering wiretap Secret U.S. spy court approved wiretap requests FISC last year, on Donald Trump , for Hillary’s Campaign. pic.twitter.com/NnIopVeR91",2017-03-04 18:04:28,1,0,838208559154249729,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4215}",0.0208148148148,0.116
16,16,16,"tape with Obama, ordering wiretap Secret U.S. spy court approved wiretap requests FISC last year, on Donald Trump , for Hillary’s Campaign. pic.twitter.com/Y89FiYKByN",2017-03-04 18:01:45,1,0,838207877038792704,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4215}",0.0208148148148,0.116
17,17,17,"Trump Tweets Obama ""Wiretapped"" Him, Media Races to Defend Obama https://goo.gl/Q9yt4m  #BarackObama #DonaldTrump via @ConstitutionNat",2017-03-04 17:39:22,0,0,838202241202991104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0208148148148,0.116
18,18,18,Donald Trump Has Officially Gone Insane With Obama Wire Tap Claim http://thedailybanter.com/2017/03/trump-officially-gone-insane-obama-wire-tap-claim/ … via @thedailybanter,2017-03-04 17:02:28,1,1,838192958931369985,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}",0.0208148148148,0.116
19,19,19,"Donald Trump panics over Russia: Jeff Sessions, Priebus, Bannon all huddled at Mar-a-Lago http://www.palmerreport.com/opinion/donald-trump-russia-panic-time-jeff-sessions-priebus-bannon-huddled-mar-lago/1780/ … via @PalmerReport",2017-03-04 16:41:34,1,0,838187697357324290,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4404}",0.0208148148148,0.116
20,20,20,Vladimir Putin’s cataclysmic endgame once elevating Donald Trump proves to have been a mistake http://www.palmerreport.com/opinion/vladimir-putins-cataclysmic-endgame-once-elevating-donald-trump-proves-to-have-been-a-mistake/1777/ … via @PalmerReport,2017-03-04 16:39:17,0,0,838187123069038593,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.34}",0.0208148148148,0.116
21,21,21,How dumb is Donald Trump? I’ve known since November about Trump Tower wiretap over Russia http://www.palmerreport.com/opinion/ive-known-since-november-trump-tower-wiretapped-russia-dumb-donald/1779/ … via @PalmerReport,2017-03-04 16:37:22,2,0,838186642234085376,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.5106}",0.0208148148148,0.116
22,22,22,Trump-Russia conspirator J.D. Gordon begins ratting out Donald Trump http://www.palmerreport.com/opinion/trump-russia-conspirator-j-d-gordon-begins-ratting-donald-trump/1747/ … via @PalmerReport,2017-03-04 16:33:02,0,0,838185550012157952,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0208148148148,0.116
23,23,23,"Carter Page fires back, says Donald Trump was behind Russia conspiracy at GOP Convention http://www.palmerreport.com/opinion/carter-page-fires-back-says-donald-trump-behind-russia-conspiracy-gop-convention/1781/ … via @PalmerReport",2017-03-04 16:30:04,0,0,838184802440347648,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5267}",0.0208148148148,0.116
24,24,24,Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets http://www.palmerreport.com/opinion/donald-trump-leaked-classified-info-tower-wiretap/1782/ … via @PalmerReport,2017-03-04 16:28:38,159,137,838184443244326912,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}",0.0208148148148,0.116
25,25,25,'THIS IS WATERGATE' Donald Trump claims ‘sick’ Barack Obama had his ‘phones tapped ... - Wake Up People… https://twitter.com/i/web/status/838181073066602497 …,2017-03-04 16:17:39,0,0,838181678782742528,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.5106}",0.0208148148148,0.116
26,26,26,How This Iconic Skating Rink Tells the Story of Donald Trump http://dailysign.al/2lAeG8x  via @kelseyjharkness @DailySignal,2017-03-04 16:02:58,0,0,838177981428281348,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0208148148148,0.116
