,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
24,24,24,24,#RESISTANCE #DonaldTrump #notmypresident #ProtectTransKids #LoveTrumpsHate #TRANSRIGHTSAREHUMANRIGHTShttps://twitter.com/PinkNews/status/838102236253335553 …,2017-03-04 11:26:58,0,0,838108524752306179,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0737459019506,0.118593435526
25,25,25,25,Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://ln.is/www.breitbart.com/bi/ZkN5l … via @BreitbartNews,2017-03-04 10:51:13,9,7,838099528922333185,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}",0.0737459019506,0.118593435526
26,26,26,26,@tania_tass @CNN @realDonaldTrump should Donald trump tweet every time a black person is killed so you guys can feel virtuous?,2017-03-04 10:41:41,0,0,838097128597639169,"{'neg': 0.181, 'neu': 0.683, 'pos': 0.137, 'compound': -0.2732}",0.0737459019506,0.118593435526
27,27,27,27,@tania_tass @CNN @realDonaldTrump why would Donald trump tweet about every single murder??? There's hundreds a day,2017-03-04 10:41:07,0,0,838096988486963200,"{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.7383}",0.0737459019506,0.118593435526
28,28,28,28,Do You Think Obama Would Wiretap Donald Trump? http://TheNewsbreaking.co.vu/JN pic.twitter.com/CzLWXmtbaq,2017-03-04 10:32:19,0,0,838094773680386050,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0737459019506,0.118593435526
29,29,29,29,Do You Think Obama Would Wiretap Donald Trump? http://TheNewsbreaking.co.vu/JN pic.twitter.com/R3W7yOmu9K,2017-03-04 10:32:15,0,0,838094756844470272,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0737459019506,0.118593435526
30,30,30,30,Donald Trump accuses Barack Obama of wire tapping his phones http://dailym.ai/2lK1ttZ  via @MailOnline,2017-03-04 10:07:26,1,0,838088508921286657,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}",0.0737459019506,0.118593435526
31,31,31,31,One day we'll see a great film about efforts by the government to keep incriminating intelligence on Donald Trump from Donald Trump.,2017-03-04 10:00:34,0,0,838086782428332032,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.802}",0.0737459019506,0.118593435526
32,32,32,32,@FoxNews @POTUS I  know about the electoral college I know about popular vote but the backbone of America is behind Donald Trump. Doubt not!,2017-03-04 09:48:13,2,0,838083674256068609,"{'neg': 0.139, 'neu': 0.786, 'pos': 0.075, 'compound': -0.3903}",0.0737459019506,0.118593435526
33,33,33,33,Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://fb.me/Q1uLgy3G ,2017-03-04 09:47:56,0,0,838083601954652160,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.5106}",0.0737459019506,0.118593435526
34,34,34,34,Donald Trump was a conspiracy-theory candidate. Now he's a conspiracy-theory president. https://wpo.st/DG8f2     HOPEFULLY EX PRESIDENT!,2017-03-04 09:35:28,28,19,838080464501997568,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.5754}",0.0737459019506,0.118593435526
35,35,35,35,"Donald Trump's father 'was arrested at a Ku Klux Klan rally' Really! Not surprised, disgusted. http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-father-kkk-ku-klux-klan-rally-arrest-report-suggestions-a7607556.html …",2017-03-04 09:28:42,0,1,838078762881269763,"{'neg': 0.332, 'neu': 0.565, 'pos': 0.103, 'compound': -0.7075}",0.0737459019506,0.118593435526
