,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,"My grandma called and asked how to download twitter so she could ""add donald Trump as a friend"".. sorry granny, but no. On many many levels",2017-03-07 12:24:20,4,0,839210126959521792,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4497}",0.107111111111,0.071
1,1,1,I liked a @YouTube video http://youtu.be/7WkB8o7zIKw?a  100% Proof Melania Trump Was Not Abused by Donald Trump,2017-03-07 08:51:12,0,0,839156491366064128,"{'neg': 0.182, 'neu': 0.663, 'pos': 0.155, 'compound': -0.128}",0.107111111111,0.071
2,2,2,"I have a Dream""  Millions of liberals cross the border illegally into Mexico to escape Donald Trump's Presidency. #JUSTDOITpic.twitter.com/wcI4OjOMnY",2017-03-07 07:54:28,0,0,839142213212860424,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4019}",0.107111111111,0.071
3,3,3,"Student out of nowhere ""oh because I am Donald Trump, Thursday is going to be Donald trump day and we all go to the White House"" ",2017-03-07 07:28:40,0,0,839135720757415936,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.107111111111,0.071
4,4,4,Cartoon Donald Trump Is Visited By Ghosts Of Presidents Past https://youtu.be/PiLEGmxvRWs  via @YouTube,2017-03-07 05:41:18,0,0,839108699620798465,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.107111111111,0.071
5,5,5,"@steph93065 @JBaker31826004 @jaketapper  Mr Tapper,Donald Trump hasn't told as many lies in his entire life,as you have told since election.",2017-03-06 22:10:30,0,0,838995253646393344,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",0.107111111111,0.071
6,6,6,I liked a @YouTube video http://youtu.be/qzPVs9APLeE?a  100% Proof Melania Trump Was Not Abused by Donald Trump,2017-03-06 20:09:34,1,0,838964819806019584,"{'neg': 0.182, 'neu': 0.663, 'pos': 0.155, 'compound': -0.128}",0.107111111111,0.071
7,7,7,@TigerPanthrHeat I got put on timeout for calling Donald Trump white trash...even though it's true. So there's that...,2017-03-06 20:08:39,0,0,838964589060583424,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}",0.107111111111,0.071
8,8,8,Donald Trump thinks he was pretty clever shifting the Russia focus to Barack Obama. He wasn't ,2017-03-06 16:59:28,0,0,838916978681253889,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}",0.107111111111,0.071
