,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
18,18,18,18,18,18,18,18,18,18,18,"Donald Trump, pseudo-president: Media embraces his latest “pivot” like the proverbial drunk under a streetlight http://fb.me/1hsbz2MRe ",2017-03-01 14:30:43,0,0,837067605886316544,"{'neg': 0.134, 'neu': 0.726, 'pos': 0.14, 'compound': 0.0258}",0.0667826086957,0.0898
19,19,19,19,19,19,19,19,19,19,19,i wish donald trump would make smart cars and priuss illegal,2017-03-01 14:27:51,0,0,837066884688277504,"{'neg': 0.225, 'neu': 0.438, 'pos': 0.338, 'compound': 0.2023}",0.0667826086957,0.0898
20,20,20,20,20,20,20,20,20,20,20,"Good to know Donald Trump has a friend in the MA congressional delegation http://boston.cbslocal.com/2017/03/01/president-trump-address-to-congress-stephen-lynch-massachusetts/ … Lynch,you read Breitbart? #bospoli #mapolipic.twitter.com/Z2F12oyvMs",2017-03-01 14:27:27,0,0,837066782070427648,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.7269}",0.0667826086957,0.0898
21,21,21,21,21,21,21,21,21,21,21,¿Por qué Centroamérica dejó solo a México frente a Donald Trump? http://www.animalpolitico.com/2017/02/trump-centroamerica-mexico-deportaciones/ … vía @Pajaropolitico,2017-03-01 14:21:36,0,0,837065311891378176,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
22,22,22,22,22,22,22,22,22,22,22,Donald Trump's actual policies contradict his joint session speech http://www.huffingtonpost.com/entry/donald-trump-policies-joint-session_us_58b6e282e4b0780bac2f010b?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-01 14:20:08,0,0,837064940389281797,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",0.0667826086957,0.0898
23,23,23,23,23,23,23,23,23,23,23,wow didn't realize donald trump had a day named after him  #NationalPigDay,2017-03-01 14:19:01,3,0,837064661338107904,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}",0.0667826086957,0.0898
24,24,24,24,24,24,24,24,24,24,24,"Donald Trump speech to Congress leaves Democrats befuddled, in ruins, with question marks - Washington Times http://m.washingtontimes.com/news/2017/feb/28/trump-speech-congress-leaves-democrats-befuddled-r/ …",2017-03-01 14:14:42,0,0,837063574820376577,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4404}",0.0667826086957,0.0898
25,25,25,25,25,25,25,25,25,25,25,"#Trump: unfailingly gauche, vulgar and infantile. Master of #exploitation Donald Trump’s #ObsessionWithApplausehttps://nyti.ms/2m95A5M ",2017-03-01 14:11:23,0,0,837062737763176449,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
26,26,26,26,26,26,26,26,26,26,26,"Fact check: Donald Trump's claims on jobs, Obamacare, immigration and more http://fw.to/y3hfneH ",2017-03-01 14:05:18,0,1,837061208662474753,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
27,27,27,27,27,27,27,27,27,27,27,"1/2 truths & outright lies typical.
Fact check: Donald Trump's claims on jobs, Obamacare, immigration and more http://fw.to/y3hfneH ",2017-03-01 14:05:05,0,1,837061154396581889,"{'neg': 0.136, 'neu': 0.728, 'pos': 0.136, 'compound': 0.0}",0.0667826086957,0.0898
